name,longitude,latitude,ellipsoidal_height
106,-114.03715063342241,46.67244044958774,974.537
107,-114.0370523235585,46.67423788389661,977.594
108,-114.03695400427199,46.67603531747959,978.076
109,-114.03675733742655,46.679630182467875,975.178
110,-114.03665898986537,46.68142761387311,971.466
111,-114.03656063287706,46.683225044552394,971.873
112,-114.03646226646048,46.68502247450573,983.811
113,-114.03636389061447,46.68681990373305,998.556
114,-114.03626550533797,46.68861733223438,995.897
115,-114.03616711062978,46.69041476000969,1010.393
116,-114.03606870648883,46.69221218705896,1065.377
117,-114.03597029291394,46.694009613382164,1067.85
118,-114.03587186990403,46.695807038979304,1042.775
119,-114.0356749955745,46.699401887995236,1010.621
120,-114.03557654425265,46.70119931141404,1008.49
121,-114.03537961328912,46.70479415607312,1019.316
122,-114.03528113364519,46.70659157731342,1014.412
123,-114.03518264455829,46.708388997827484,1000.546
124,-114.03508414602729,46.71018641761534,1010.266
125,-114.03498563805107,46.71198383667696,1016.451
126,-114.03488712062851,46.713781255012314,1028.737
127,-114.03478859375844,46.7155786726214,1050.018
128,-114.03469005743976,46.71737608950418,1029.55
129,-114.03459151167134,46.719173505660656,1045.781
130,-114.03449295645201,46.720970921090796,1049.508
131,-114.0343943917807,46.72276833579461,
132,-114.03473614674306,46.668777893458916,978.919
133,-114.0346377694841,46.67057532500366,979.11
134,-114.03453938279654,46.672372755822295,1010.263
135,-114.03444098667923,46.67417018591476,1015.554
136,-114.03434258113107,46.6759676152811,999.519
137,-114.03414574173758,46.67956247183522,979.656
138,-114.03404730788999,46.681359899022965,976.817
139,-114.03394886460704,46.68315732548448,979.106
140,-114.03385041188757,46.68495475121974,991.698
141,-114.03375194973043,46.68675217622876,1004.89
142,-114.03365347813453,46.688549600511486,1040.328
143,-114.0335549970987,46.690347024067904,1051.627
144,-114.03345650662183,46.69214444689801,1086.51
145,-114.03335800670281,46.69394186900178,1083.31
146,-114.03325949734048,46.6957392903792,1046.307
147,-114.03306245028138,46.699334130954874,1032.891
148,-114.03296391258236,46.70113155015313,1023.313
149,-114.03286536543551,46.702928968624924,1030.1
150,-114.03276680883971,46.7047263863703,1066.957
151,-114.0326682427938,46.7065238033892,1061.032
152,-114.03256966729668,46.70832121968162,1044.016
153,-114.03247108234721,46.71011863524753,1034.999
154,-114.03227388408668,46.713713464199806,1054.361
155,-114.03217527077334,46.71551087758612,1066.643
156,-114.03207664800311,46.71730829024586,1038.791
157,-114.03197801577488,46.71910570217901,1065.354
158,-114.03187937408748,46.72090311338554,1066.324
159,-114.03178072293981,46.72270052386546,
160,-114.03212507802641,46.66871014861594,986.757
161,-114.03202661453167,46.67050757594116,995.868
162,-114.03192814160008,46.67230500253997,1016.014
163,-114.0318296592305,46.67410242841237,1015.66
164,-114.03163266617284,46.67769727797782,991.045
165,-114.0315341554825,46.67949470167087,985.03
166,-114.03143563534965,46.68129212463741,987.885
